NORAD_ID,Name
1,SL-1 R/B
2,SPUTNIK 1
3,SPUTNIK 2
4,EXPLORER 1
5,VANGUARD 1
6,EXPLORER 3
7,SL-1 R/B
8,SPUTNIK 3
9,EXPLORER 4
10,SCORE
11,VANGUARD 2
12,VANGUARD R/B
13,DISCOVERER 1
14,DISCOVERER 2
15,EXPLORER 6
16,VANGUARD R/B
17,THOR ABLE R/B
18,DISCOVERER 5
19,DISCOVERER 6
20,VANGUARD 3
21,LUNA 3
22,EXPLORER 7
23,JUNO II R/B
24,DISCOVERER 7
25,DISCOVERER 8
26,DISCOVERER 5 CAPSULE
27,PIONEER 5
28,THOR ABLE R/B
29,TIROS 1
30,THOR ABLESTAR R/B
31,TRANSIT 1B
32,DISCOVERER 11
33,THOR ABLESTAR DEB
34,SPUTNIK 4
35,SL-3 R/B
36,SPUTNIK 4 CABIN
37,SPUTNIK 4 DEB
38,SPUTNIK 4 DEB
39,SPUTNIK 4 DEB
40,SPUTNIK 4 DEB
41,SPUTNIK 4 DEB
42,SPUTNIK 4 DEB
43,MIDAS 2
44,MIDAS 2 DEB
45,TRANSIT 2A
46,SOLRAD 1 (GREB)
47,THOR ABLESTAR R/B
48,DISCOVERER 13
49,ECHO 1
50,DELTA 1 R/B
51,ECHO 1 DEB [METAL OBJ]
52,ECHO 1 DEB [MYLAR OBJ]
53,ECHO 1 DEB [METAL OBJ]
54,DISCOVERER 14
55,SPUTNIK 5
56,SL-3 R/B
57,DISCOVERER 15
58,COURIER 1B
59,THOR ABLESTAR R/B
60,EXPLORER 8
61,DISCOVERER 17
62,JUNO II R/B
63,TIROS 2
64,DELTA 1 R/B
65,SPUTNIK 6
66,SL-3 R/B
67,DISCOVERER 18
68,DISCOVERER 19
69,JUNO II DEB
70,SAMOS 2
71,SPUTNIK 7
72,SL-6 R/B
73,SL-6 DEB
74,DELTA 1 DEB
75,DELTA 1 DEB
76,SL-6 R/B
77,SPUTNIK 8
78,SL-6 DEB
79,ATLAS AGENA A R/B
80,VENERA 1
81,EXPLORER 9
82,SCOUT X-1 R/B
83,DISCOVERER 20
84,DISCOVERER 21
85,SCOUT X-1 DEB
86,SCOUT X-1 DEB
87,TRANSIT 3B & LOFTI 1
88,DISCOVERER 20 DEB
89,DISCOVERER 20 DEB
90,DISCOVERER 20 DEB
91,SPUTNIK 9
92,SPUTNIK 9 DEB
93,SPUTNIK 9 DEB
94,SPUTNIK 9 DEB
95,SPUTNIK 10
96,SL-3 R/B
97,SL-3 DEB
98,EXPLORER 10
99,THOR ABLESTAR DEB
100,DISCOVERER 23
101,THOR ABLE DEB [YO]
102,DISCOVERER 23 CAPSULE
103,VOSTOK 1
104,SL-3 R/B
105,JUNO II DEB
106,DISCOVERER 23 DEB
107,EXPLORER 11
108,DISCOVERER 25
109,DISCOVERER 25 DEB
110,PIONEER 1
111,PIONEER 3
112,LUNA 1
113,PIONEER 4
114,LUNA 2
115,THOR ABLE DEB [YO]
116,TRANSIT 4A
117,SOLRAD 3 & INJUN 1
118,THOR ABLESTAR R/B
119,THOR ABLESTAR DEB
120,THOR ABLESTAR DEB
121,THOR ABLESTAR DEB
122,THOR ABLESTAR DEB
123,THOR ABLESTAR DEB
124,THOR ABLESTAR DEB
